Off 1769303217.898
On 0.121
Off 0.019
On 0.098
Off 0.062
On 0.170
Off 0.078
On 0.013
Off 0.060
On 0.132
Off 0.051
On 0.292
Off 0.140
On 0.104
Off 0.053
On 0.058
Off 0.049
On 0.215
Off 0.035
On 0.023
Off 0.060
On 0.159
Off 0.021
On 0.165
Off 0.037
On 0.059
Off 0.236
On 0.188
Off 0.118
On 0.057
Off 0.118
On 0.082
Off 0.020
On 0.067
Off 0.013
On 0.079
Off 0.140
On 0.101
Off 0.024
On 0.057
Off 5.559
On 0.142
Off 0.049
On 0.050
Off 0.021
On 0.120
Off 0.042
On 0.057
Off 0.119
On 0.123
Off 0.040
On 0.156
Off 0.021
On 0.082
Off 0.020
On 0.199
Off 0.142
On 0.199
Off 0.100
On 0.083
Off 0.116
On 0.067
Off 0.017
On 0.058
Off 0.044
On 0.055
Off 0.168
On 0.238
Off 0.218
On 0.037
Off 0.042
On 0.061
Off 0.017
On 0.140
Off 0.045
On 0.053
Off 0.142
On 0.064
Off 0.014
On 0.083
Off 0.021
On 0.056
Off 0.022
On 0.082
Off 0.018
On 0.202
Off 0.166
On 0.149
Off 0.049
On 0.052
Off 0.022
On 0.199
Off 0.140
On 0.162
Off 0.040
On 0.069
Off 0.010
On 0.223
Off 0.161
On 0.056
Off 0.018
On 0.061
Off 0.038
On 0.142
Off 0.064
On 0.033
Off 0.288
On 0.054
Off 0.053
On 0.030
Off 0.042
On 0.148
Off 0.028
On 0.060
Off 0.138
On 0.065
Off 0.040
On 0.054
Off 0.022
On 0.060
Off 0.022
On 0.078
Off 0.045
On 0.196
Off 0.160
On 0.162
Off 0.043
On 0.056
Off 0.019
On 0.200
Off 0.139
On 0.160
Off 0.052
On 0.051
Off 0.020
On 0.197
Off 0.168
On 0.051
Off 0.021
On 0.062
Off 0.038
On 0.169
Off 0.032
On 0.061
Off 0.259
On 0.182
Off 0.139
On 0.065
Off 0.139
On 0.080
Off 0.016
On 0.057
Off 0.022
On 0.062
Off 0.157
On 0.251
Off 6.809
On 0.140
Off 0.048
On 0.055
Off 0.018
On 0.163
Off 0.039
On 0.061
Off 0.098
On 0.120
Off 0.041
On 0.158
Off 0.039
On 0.061
Off 0.029
On 0.193
Off 0.140
On 0.206
Off 0.114
On 0.058
Off 0.121
On 0.087
Off 0.013
On 0.085
Off 0.016
On 0.060
Off 0.141
On 0.218
Off 0.227
On 0.053
Off 0.046
On 0.054
Off 0.050
On 0.131
Off 0.059
On 0.043
Off 0.138
On 0.060
Off 0.058
On 0.020
Off 0.743
On 0.018
Off 0.064
On 0.055
Off 0.043
On 0.225
Off 0.114
On 0.159
Off 0.046
On 0.053
Off 0.060
On 0.180
Off 0.143
On 0.058
Off 0.048
On 0.052
Off 0.042
On 0.159
Off 0.061
On 0.040
Off 1.284
On 0.040
Off 0.016
On 0.218
Off 0.880
On 0.023
Off 0.221
On 0.215
Off 0.120
On 0.061
Off 0.039
On 0.061
Off 0.039
On 0.164
Off 0.043
On 0.052
Off 0.302
On 0.063
Off 0.037
On 0.062
Off 0.029
On 0.148
Off 0.046
On 0.073
Off 0.144
On 0.057
Off 0.022
On 0.062
Off 0.036
On 0.060
Off 0.061
On 0.040
Off 0.060
On 0.238
Off 0.180
On 0.142
Off 0.047
On 0.076
Off 0.049
On 0.175
Off 2.035
On 0.058
Off 0.023
On 0.056
Off 0.047
On 0.054
Off 0.180
On 0.228
Off 6.790
On 0.072
Off 0.011
On 0.158
Off 0.061
On 0.074
Off 0.087
On 0.138
Off 0.061
On 0.167
Off 0.030
On 0.066
Off 0.037
On 0.204
Off 0.201
On 0.176
Off 0.157
On 0.059
Off 0.124
On 0.075
Off 0.021
On 0.064
Off 0.037
On 0.060
Off 0.204
On 0.157
Off 0.237
On 0.081
Off 0.020
On 0.062
Off 0.036
On 0.143
Off 0.252
On 0.045
Off 0.045
On 0.059
Off 0.037
On 0.067
Off 0.016
On 0.059
Off 0.040
On 0.219
Off 0.168
On 0.152
Off 0.042
On 0.062
Off 0.036
On 0.203
Off 0.138
On 0.166
Off 0.054
On 0.041
Off 0.036
On 0.041
Off 0.381
On 0.020
Off 0.098
On 0.139
Off 0.048
On 0.053
Off 0.322
On 0.062
Off 0.036
On 0.059
Off 0.026
On 0.157
Off 0.041
On 0.057
Off 0.140
On 0.060
Off 0.040
On 0.069
Off 0.011
On 0.066
Off 0.034
On 0.064
Off 0.414
On 0.025
Off 0.195
On 0.062
Off 0.028
On 0.215
Off 0.157
On 0.146
Off 0.055
On 0.061
Off 0.045
On 0.200
Off 0.158
On 0.066
Off 0.030
On 0.061
Off 0.039
On 0.162
Off 0.041
On 0.065
Off 0.254
On 0.180
Off 0.136
On 0.085
Off 0.120
On 0.082
Off 0.025
On 0.055
Off 0.044
On 0.052
